full_text,labels,langauge,post type,abusive word,idiomatic express,Source
"Shegiya harda cewa in bata kudin anko, Ashe itace AMARYAR.😭😥😭",negative,Hausa,social,shegiya,,Facebook
Tunda team ustazai ta dawo kuzo mu tattauna matsalar Besty da kuma amfaninsa 😂😂😂,Neutral,Engausa,social,,,Facebook
"HHHHHH, SHEGIYA TSINTSIYA,,MAJA MAJI MAGANI MUN JAJANTAWA JUNA",negative,Hausa,political,shegiya,,Facebook
An hana sana’ar Adai daita sahu a Kano daga Goma na dare zuwa shida na safe …,positive,Hausa,security,,,Facebook
Shegiya Apc.Ana Tayi munataji A karamar Hakumar Taura kowa Yayi Tagumi ana jiran Tsammani 😁😁😁😁😁😁,negative,Hausa,political,shegiya,,Facebook
"TAMBAYA !!! TAMBAYA !!! TAMBAYA !!!
WAI MEYASA WASU YAN SIYASA SUKE DAUKAN JAMA'A DA DELIGATE BASUSAN ME SUKEYIBANE WAI SAI SIYASA TAZA LOKACINNE AKESANIN AMFANIN MUTANE AMMAN IDAN LOKACIN YAWUCE TO KUNZAMA YAN ISKA DA SUNA INA DELIGATE YAKAMATA KUYI AIKIN ALLAH TUNDA BAKUSAN RANAN MUTUWARKUBA ALLAH YASA KUGANE",Neutral,Hausa,political,,,Facebook
"Everytime who will take me out, who will sub for me. Shegiya must u tell everybody dat ur boyfrnd is useless???",negative,Engausa,social,shegiya,,Facebook
Relationship is not a scam it's either you are dating a shegiya or you are the shege or both of you are shegu. 🚶🚶🚶🚶,negative,Engausa,social,shegiya,,Facebook
Ko kaki ko kaso buhari Ubanka ne,negative,Engausa,political,ubanka,,Facebook
"KUTUMAR UBA,,,,? NI DAN WACCE JAHAR NE.,",negative,Hausa,social,kutumar uba,,Facebook
"2022 akwai kutumar uba, Allah yakaimu duk wanda yasan mun zabeshi 2019 bai mana komaiba to zamu daga mai RED CARD",negative,Hausa,political,kutumar uba,,Facebook
KAI WALLAHI ASHARIYA AKWAI DADI MUSAMMAN MA KUTUMAR UBA,negative,Hausa,social,kutumar uba,,Facebook
"Baba Buhari ne ya yanka PDP a 2015,kuma ya binneta a 2015,
Don haka PDP ta zama tarihi a Nigeria insha Allahu.",Neutral,Engausa,political,,,Facebook
"Idan aka tsaida jirgin kasa daga Kaduna zuwa Abuja nan da wata uku, a sa kowa, babba da talaka ya bi hanyar mota, kuna ganin za’a samu tsaro a hanyar?Idan aka watsa rundunonin soja su rike hanyar Kad/BG, za’a samu tsaro?",positive,Hausa,security,,,Facebook
"Ina masu cewa batun cikin aisha buhari karyane ku Kalli wannan video 🙈.

ashe baba da lafiyarsa MashaAllah allah ya raba lafiya.

",Neutral,Engausa,political,,,Facebook
"Gwamnatin Najeria tasamu lasisin a'mmfani da jiragen sama, watoTocano mai Kiran angulu wajen yaki da y'an taa'dda a Shekarar 2022.",positive,Hausa,security,,,Facebook
"Wani Mutum Ya Tambayi Wani Malami, Yaya Ni'imar Aljannah Take? Sai Malamin Yace"" A Cikinta Akwai Annabi Muhammad ﷺ 😍",Neutral,Hausa,religious,,,Facebook
"ban san shegen lefen nan haka yake da cin raiba seda nafara hadawa, dan kutumar uba",negative,Hausa,social,dan kutumar uba,,Facebook
"Rashin 
Aure ma 
Azabace 
😭😭😭",Neutral,Hausa,social,,,Facebook
“Karya ne ka bi ya’yan mutane ka ce ba za a bi naka ba”…,positive,Hausa,social,,,Facebook
"( Maza ,suka ce ) 👉
Mata mutanen mu mata masu 
abun bamu❓
🌷👏🌷 ,",Neutral,Hausa,social,,,Facebook
"Ki sani yake yar uwata, gwargwadon yadda kike kulawa da mijinki gwargwadon yadda tunanin sa ze tsaya a kanki ke kadai👌🏽",positive,Hausa,social,,,Facebook
"KISANI AURE NE KAWAI ZAI TABATAR MAKI DA KOKE WACE CE 
ALLAH YABAKU MAZAJE 
🌷👏 NAGARI🌷👏",positive,Hausa,social,,,Facebook
"ANCE PDP KUNCE positiveWER 
ANCE APC KUNCE CHANJI 
IDAN AKACE MAHAMMADU 
RASULINLA MIZAKUCE",Neural,Engausa,religious,,,Facebook
ZAGIN BABA BUHARI Fasiqancine Domin Shugaban kane Indaikai Dan Najeriya ne Baba Allah Yaqara Shiga Lamuranka,positive,Hausa,political,,,Facebook
"Allah Sarki mu.Yan Arewa kullum
Sai kisan gilla akemana.ba'a daukan
Matakin.da yadashe. Sai hakuri ake ta faman bamu.",positive,Hausa,security,,,Facebook
"In Nigeria you have to learn how to drive with one hand, the other one is for uwarka titin na ubankane🤣😂😂😂😂",Negative,Engausa,social,,,Facebook
DURIN UWARKA TAKA LAPIA,Negative,Hausa,social,durin uwarka,,Facebook
Babbar matsalar auren siriyar mace idan tayi ciki sai kaga ta koma kamar macijiya ta haɗiyi akuya.,Negative,Hausa,social,,,Facebook
"Matsalar face book kenan labari daya idan aka samu sai an sudeshi tsaf 😂
Yanzu dai duk inda ka leka labarin wani mara daraja ake waishi Besty 🙄",positive,Hausa,social,,,Facebook
"👉[B]👈
Kunga wannan harafin toh itace matsalar Nigeria😞

Boko haram,Bet naija,Bb naija,Besty da kuma Buha.......🤐",Negative,Hausa,political,,,Facebook
"Daxu da safe Muna waya da budurwata
To dama. Babbar wayata na hannuna 
Kawai se na bude wallet dina nan take 
Ban San lokacin da nace kutumar uba 
Setace baby me yafaru nace mata baby cinnaka ne ya cijeni 

Ege Bitcoin ya tsiyayemu duka",Negative,Engausa,social,kutumar uba,,Facebook
yan kutumar uba jinku kawai nakeyi,Negative,Hausa,social,yan kutumar uba,,Facebook
Kai kai lalle xamuyi kutumar uba da kowane maye tunda kuka shigo gonata😈😈😈👹👹👉👉,Negative,Hausa,social,kutumar uba,,Facebook
"Kutumar uba😲😲.Astagfirullah,wallahi Asuu da gaske suke",Negative,Hausa,education,,,Facebook
Kutumar uba sabuwar mota da miliyon (3) ga duk deligete ɗin da ya zaɓe shi alqur'ani ana durin uwa!🙆,Negative,Hausa,political,durin uwa,,Facebook
Ance wani delegate kwana GOMA bai kashe injin gidansa ba Uwar gida tace HONORABLE an kawo NEPA Ya ce rabu da ƴan iska.🥺,Negative,Engausa,political,,,Facebook
"Sen.Dino Malaye Wer Dey Promise Atiku Abubakar kogi State DELEGATE Votes Loses Senate Tickets To Hon.Yusuf Member House Of Representatives After Primary Election Rerun🤣🤣

DELEGATE Yan ISKA NII wlai 😅😅😅",Negative,Engausa,political,yan iska,,Facebook
Ance wani delegate kwana GOMA bai kashe injin gidansa ba Uwar gida tace HONORABLE an kawo NEPA Ya ce rabu da ƴan iska.🥺,Negative,Engausa,political,yan iska,,Facebook
Bazaka San deligate yan iska bane Sai kafito takara,Negative,Hausa,political,yan iska,,Facebook
"CANJIN SHEKA DAGA JAM'IYAR APC ZUWA JAM'IYAR NNPP MAI ALAMAR KAYAN DADI A KARAMAR HUKUMAR BIRNIWA....

A yau laraba wacce daidai da 29/6/2022. Jam'iyar NNPP mai alamar kayan dadi reshen jahar jigawa karamar hukumar BIRNIWA tayi babban kamu a matsabar KARANKA dake karamar hukuma BIRNIWA

Inda ta karbi dandazon matasa sama da mutum dari 100 a garin MASEWA Dakuma KAABEWA dake mazabar KARANKA. Matasan sun bayyana dalilin su na barin Jam'iyar APC yayinda sukayi bayani kaman haka.....
""Mun bada duk wata gudumawa da ake bukata daga wajen matasa a kakar zaben 2015 tare da yakinin zamuga alkhairi dakuma canji kaman yadda suka fada. Amma sai gashi sunci amanar mu sun yaudaremu har gara jiyama duba da irin halin da kasa take ciki tun daga matakin kasa har izuwa karamar hukuma, wannan shine kadan daga cikin dalilin dayasa muka yanke hukuncin sauya sheka izuwa wannan Jam'iya ta NNPP""

Daga karshe wakilin shugaban Jam'iya MAL SANI MADU GUNSUMI tare da wakilan sectary jam'iya kuma Dan takarar REP mai wakilar BIRNIWA, GURI, KIRI KASAMMA, ALH ADAMU HASSAN ABUNABO dakuma Dan takarar Dan majalissar Jaha mai wakiltar karamar hukumar BIRNIWA HON IDRIS ALIYU KOLOMI Sun karbi wannan matasa hannu bibbiyu tare da addu'ar Allah ya bawa wannan Jam'iya tamu ta NNPP nasara tun daga matakin kasa har izuwa karamar hukuma 

SIYASA DA KULAWA..
#NNPPALHERI",Neutral,Engausa,political,,,Facebook
"ALHMDULILLAH

Yan uwa kusani cikin adduarku na rabauta da kujerar SSA. Allah yasa musauke nauyin da aka dora mana naganin munzama wakilan jam'iyarmu ba wakilan kanmuba.

Ina mika godiyata ta musamm ga jagororinmu

Hon. Ibrahim Ahmad karaye(madakin karaye).

Maigidana wato oga katafila sarkin aiki Hon.Balarabe isyaku Bade.

Sai karaminsu kuma babbansu Hon. Aminu Musa Ado Karaye

Da sauran yan jam'iya manya da yara ina godiya da wannnn karamci da akayimin .

Nagode! Nagode!! Nagode",Neutral,Engausa,political,,,Facebook
"Kwankwaso ne kadai idan muka zabe shi zai tsaya a Nigeria yayi mana aiki, mun gani da yana gwamna sai ka iya irga sau nawa yaje Abuja, idan kaga yafita kasar waje Umarah yaje ko India ko Sudan dubo lafiyar daliban da yakai.

Idan muka zabi Atiku, kullum yana hanyar zuwa Dubai da China, ko Mai ke faruwa indai Arsenal suna wasa sai ya tafi ingila kallon wasan. kuma dai kunsan yana da hannun Jari a kanfaninnikan kasar waje da dama, babu yadda za'ayi ya bar kasuwancinshi ya karye saboda ku, dole ya dunga fita yana bibiya. 

idan kuwa muka zabi Bola tinubu, babu party ko gayyatacciyar dinner da zai ki halarta a America, ko France da sauransu. kullum yana Kan iska. kun san yarabawa da son party, ko benchi aka kada sai sunyi rawa. Kuma shima gashi dan kasuwa Mai hannun Jari a kanfaninnikan waje da dama , dole ya bibiyi investment. 

Yan kasa kuyiwa kanku karatun ta natsu kada muje mu kara zabo YAWALE PART 2. shawarace.

Munga yadda marigayi General Sani Abacha ya zauna bai fita ko Ina ba ya gina kasar shi. munga yadda kwankwaso yana gwamna ya zauna a jihar Kano wanda shiyasa ma suke cemasa Local Champion amma ya gina jihar shi. 

Muhd_RH",neutral,Engausa,political,,,Facebook
Banda jaki ya zakace Baka iya karanta kur ani ba Amma kace kalakanci ma anoninsa kujifa shege,negative ,Hausa,religious,"jaki, shege",,Facebook
Ina ma zai yiwu a gaya mana ko kudin mu nawa aka kashe a tafiyan Shugaba Buhari Dubai da Ministoci goma da sauran jami’ai a wannan halin da muke ciki?Sannan a gaya mana amfanin da zai biyo wannan sharholiyar?,positive,Hausa,political,,,Facebook
"TSOHUWA tace yaro kai ne ZULUM? yace eh MAMA nine ta ce kai ne GWAMNA? yace eh MAMA

Ta ce ZULUM Allah yayi maka albarka, ya kare gaban ka da bayanka.Allah yasa kagama da duniya Lafiya.

Kai mai karantawa don Allah daure kace Ameen Kuma Kayi Sharing",positive,Engausa,political,,,Facebook
"Mai Gidan Mu Yadda Kake Faran ta wa Alumma kaima Allah Ya Faran ta Ma.

Amin.

",positive,Hausa,political,,,Facebook
Kai Jama'a rijiya ta bada ruwa kogi ya hana sakon nan nawa kaitsaye Zuwa ga gwamnatin Jihar Jigawa akan maganar J tech mu a Nahuche Sunayen wanda suka fito wani mutum wanda yake aiki a ma aikatar ilimi ta Jiha ya cire Sunayen 'Yan Nahuche mai girma Gwamna Alh Muhammad Badaru Abubakar Talamiz kai jagoran Talakawa ne Sabo da haka muna mukatar a Taimaka mana Shifa Wannan mutumin na sanshi kuma har gidansa Nasani kuma friend dina Sannan kuma Babban mutum Sannan kuma mak'abcin garinmu ne kai Bawan Allah Matsalarka da mutum daya ko biyu bai kamata tashafi 'Ya'yan Talakawan Nahuche ba!! Mai girma gwamna A duba mana dan Allah tun bamu fara fitowa muna zano sunansa ba! Zan dan takaita kanna ci gaba.,Neutral,Hausa,political,,Rigijiya ta bada ruwa guga ta hana,Facebook
"Salisu T. Balarabe, daraktan shirin nan mai farin jini na Kwana Casa'in, ya bayyana dalilinsu na sauya tauraruwar da ke taka rawa a matsayin Salma.",Neutral,Hausa,social,,,Facebook
Jar kutumar uba Ashe haka ake ji idan akasha wiwi,negative,Hausa,social,kutumar uba,,Facebook
"Ni Ba Cikakkiyar Budurwa Ba Ce, In Ji Rahama Sadau

Fitacciyar Jarumar Kannywood Rahama Sadau ta bayyana cewa ita ba cikakkiyar budurwa ba ce, ta jima da rasa budurcinta ba kuma ta hanyar aure ba.

Ta ce"" Kowa da irin dabi'arsa, ni ba na munafunci cikin lamurana, na rasa budurcina tuntuni, ban taba yin aure ba, amma ba zan iya lissafa ko sau nawa na zubar da ciki a jikina ba."" 

Mene ra'ayinku?

Majiya:- Kano Online Tv",Neutral,Engausa,social,,,Facebook
"Rayya Matar Manya!
Me ya sa Rayya take da farin jini kamar kuɗi?
📷 Arewa24",Neutral,Hausa,social,,,Facebook
Ina rashin lafiya.Ina barar addua.Nagode.Allah Ya saka da alheri.,Neutral,Hausa,social,,,Facebook
RANAR MUTUWAR MUMINI RANAR FARIN Ciki Agareshi Ya Allah Kakar6i Ranmu Muna Masu Imani,Neutral,Hausa,religious,,,Facebook
Assalamualaikum mata a yau kuna kokari amma yakamata kurika gayyatar malamiai mata akoina a arewacin nagerianan suna fadakarwa da bada shawara Shirin zai kara armashi sosai da kwadatuwar sauraro Allah ya ya kara daukaka,positive,Hausa,social,,,Facebook
"Ga tambaya ga yan Nigeria
NIGERIA sai ........................
In Buhari ne press A
In Atiku ne press B",Neutral,Engausa,political,,,Facebook
"Nafisa ta ce ba za ta iya ci gaba da fitowa a shirin na ‘Labarina’ ba saboda wasu dalilai na kashin kanta, sai dai wasu majiyoyi sun tabbatar wa BBC Hausa cewa ta dauki matakin ne saboda an samu rashin jituwa tsakaninta da mai shirya shirin, Aminu Saira.",Neutral,Hausa,social,,,Facebook
"We spent almost 8 months we're dating each other 🤗 and I spend money a lot for her 🙈

Ashe Dan shegiya namijine 😺😺🏃",Negative,Engausa,social,dan shegiya,,Facebook
Wallahi ribar musulmi a facebook itace aduk sanda kaji wani yace annabi muhammad yace Sallallahu alaihi wassalam,positive,Engausa,religious,,,Facebook
Wai Dan Allah meyasa daga zaran mace tasamu ciki namiji ke gudun ta 😪😪,Neutral,Hausa,social,,,Facebook
Naceba.... Zaku zo muyi Dan modinne ko Kuma har yanzu kuna nanaye. Maganar Gwamnan Gobe muke a Jigawa.,Neutral,Hausa,political,,,Facebook
APC zamuyi ba mix Insha'Allah,Neutral,Engausa,political,,,Facebook
"A madadin Baffa na, malam Abubakar Muktar Adam , shugaban kungiyar Kwankwasiya pillar of the Nation. Allah ya sanya alkhairi.",Neutral,Engausa,political,,,Facebook
Yanzu kana haduwa da tsohuwar budurwar ka sai tafara yima gwalo wai hakan me yake nufi ne?,Neutral,Hausa,social,,,Facebook
